feature,VIF
reach_tkn,11.684526240400517
cost_tkn,27.299186501890105
creature'_tkn,4.484170249357302
train_tkn,
vampir_tkn,2.51526393979339
green_tkn,6.320555026343635
night_tkn,inf
brick_tkn,2.02610031070418
non-dragon_tkn,
destroy_tkn,3.9798356005076196
gideon_tkn,2.402426908486554
riot_tkn,107.90353830039997
pest_tkn,3.514108823111404
roll_tkn,3.5406617433916803
order_tkn,36.85052261551999
much_tkn,4.251210299728342
learn_tkn,inf
strike_tkn,19.887503039665834
spell'_tkn,2.458486219993772
hast_tkn,9.25513955423931
extra_tkn,inf
everi_tkn,4.186671122574613
menac_tkn,5.660582867838395
gate_tkn,1.7243259149609067
name_tkn,4.213755793541082
abil_tkn,6.670893056182653
changel_tkn,inf
complet_tkn,3.119021807272209
remov_tkn,3.356393073838853
cat_tkn,8.76310731564335
magecraft_tkn,inf
lesser_tkn,2.772134329209571
precombat_tkn,14.455001254301251
could_tkn,3.5787926100041654
creatur_tkn,5.613892720844662
afflict_tkn,4.089168524161633
enrag_tkn,inf
desert_tkn,5.074443912985047
face_tkn,1.892291392250677
crew_tkn,inf
amount_tkn,5.551645354123294
combat_tkn,29.692267461066233
return_tkn,20.282717830658736
forest_tkn,2.3386683616044897
mill_tkn,inf
bottom_tkn,21.087820837054014
addit_tkn,6.8917747174187625
constel_tkn,inf
anoth_tkn,3.011460518933057
city'_tkn,inf
equal_tkn,6.438146815674065
dungeon_tkn,26.30039401572411
daybound_tkn,inf
landfal_tkn,inf
start_tkn,18.92375420836726
explor_tkn,8.57118981596172
graveyard_tkn,9.98823046087234
nonland_tkn,4.227346672443742
neither_tkn,inf
untap_tkn,5.495071283313589
end_tkn,12.474026385279753
coin_tkn,2.357057028711888
black_tkn,4.893661730596838
Harpy_type,1.692696559428107
Chimera_type,2.00655744975786
Bird_type,3.3789905181986435
Troll_type,2.555411945451856
Barbarian_type,3.325053935683015
Crocodile_type,1.526148658804262
Equipment_type,inf
Nightmare_type,3.1960555074487633
Fish_type,
Spirit_type,4.011974560693354
Curse_type,2.719261431418154
Karn_type,inf
Druid_type,3.9079300058590936
Insect_type,2.3670312316048276
Nymph_type,1.4824839775814223
Wall_type,5.80920104195041
Satyr_type,3.8022873196742624
Centaur_type,2.1782551807311914
Dryad_type,1.8020359016801455
Lizard_type,1.8080777145259685
Elemental_type,4.046450317309996
Vedalken_type,2.9434848075424536
Mordenkainen_type,inf
Whale_type,1.4101736186163074
Jaya_type,inf
Bat_type,2.145946664883965
Sorcery_type,15.957517205872199
Kasmina_type,inf
Boar_type,1.9063071492169257
